prototipo,operador,run,flight time
1,1,1,1.23
1,1,2,1.3
1,1,3,1.22
2,1,1,1.23
2,1,2,1.28
2,1,3,1.41
3,1,1,1.26
3,1,2,1.39
3,1,3,1.33
4,1,1,1.49
4,1,2,1.42
4,1,3,1.51
1,2,1,1.35
1,2,2,1.3
1,2,3,1.25
2,2,1,1.27
2,2,2,1.23
2,2,3,1.27
3,2,1,1.3
3,2,2,1.47
3,2,3,1.36
4,2,1,1.47
4,2,2,1.43
4,2,3,1.58
