prototipo,operador,run,flight time
1,1,1,1.31
1,1,2,1.41
1,1,3,1.49
2,1,1,1.32
2,1,2,1.48
2,1,3,1.62
3,1,1,1.58
3,1,2,1.49
3,1,3,1.51
4,1,1,1.47
4,1,2,1.58
4,1,3,1.66
1,2,1,1.30
1,2,2,1.23
1,2,3,1.56
2,2,1,1.36
2,2,2,1.38
2,2,3,1.47
3,2,1,1.51
3,2,2,1.37
3,2,3,1.36
4,2,1,1.56
4,2,2,1.77
4,2,3,1.50
