prototipo,operador,run,flight time 1,flight time 2,flight time 3
1,1,1,1.44,1.56,1.34
1,1,2,1.31,1.49,1.43
1,1,3,1.46,1.42,1.32
1,1,4,1.61,1.43,1.47
1,1,5,1.54,1.41,1.4
2,1,1,1.34,1.25,1.21
2,1,2,1.29,1.39,1.41
2,1,3,1.3,1.32,1.3
2,1,4,1.44,1.32,1.43
2,1,5,1.36,1.31,1.46
3,1,1,1.33,1.35,1.33
3,1,2,1.29,1.2,1.38
3,1,3,1.3,1.25,1.41
3,1,4,1.18,1.28,1.24
3,1,5,1.22,1.19,1.41
4,1,1,1.32,1.26,1.3
4,1,2,1.32,1.41,1.42
4,1,3,1.42,1.33,1.36
4,1,4,1.38,1.38,1.2
4,1,5,1.4,1.41,1.32
1,2,1,1.38,1.58,1.51
1,2,2,1.39,1.64,1.41
1,2,3,1.37,1.5,1.44
1,2,4,1.45,1.51,1.57
1,2,5,1.46,1.51,1.55
2,2,1,1.5,1.48,1.3
2,2,2,1.49,1.43,1.49
2,2,3,1.36,1.4,1.39
2,2,4,1.25,1.37,1.33
2,2,5,1.25,1.36,1.42
3,2,1,1.38,1.37,1.54
3,2,2,1.3,1.38,1.41
3,2,3,1.33,1.4,1.38
3,2,4,1.38,1.43,1.28
3,2,5,1.3,1.25,1.35
4,2,1,1.47,1.35,1.48
4,2,2,1.44,1.4,1.3
4,2,3,1.54,1.47,1.28
4,2,4,1.5,1.37,1.2
4,2,5,1.47,1.39,1.5
