prototipo,operador,run,flight time
1,anderson,1,1.61
1,anderson,2,1.81
1,anderson,3,1.87
1,anderson,4,1.94
1,anderson,5,1.84
2,anderson,1,1.69
2,anderson,2,1.59
2,anderson,3,1.69
2,anderson,4,1.65
2,anderson,5,1.55
3,anderson,1,1.71
3,anderson,2,1.79
3,anderson,3,1.72
3,anderson,4,1.7
3,anderson,5,1.85
4,anderson,1,1.77
4,anderson,2,1.58
4,anderson,3,1.64
4,anderson,4,1.69
4,anderson,5,1.73
1,juliana,1,1.61
1,juliana,2,1.79
1,juliana,3,1.8
1,juliana,4,1.66
1,juliana,5,1.63
2,juliana,1,1.58
2,juliana,2,1.84
2,juliana,3,1.5
2,juliana,4,1.7
2,juliana,5,1.55
3,juliana,1,1.74
3,juliana,2,1.72
3,juliana,3,1.75
3,juliana,4,1.74
3,juliana,5,1.51
4,juliana,1,1.52
4,juliana,2,1.64
4,juliana,3,1.53
4,juliana,4,1.63
4,juliana,5,1.67
