prototipo,operador,run,flight time
1,1,1,1.35
1,1,2,1.37
1,1,3,1.38
1,1,4,1.26
1,1,5,1.22
2,1,1,1.12
2,1,2,1.3
2,1,3,1.21
2,1,4,1.15
2,1,5,1.24
3,1,1,1.28
3,1,2,1.49
3,1,3,1.48
3,1,4,1.31
3,1,5,1.3
4,1,1,1.2
4,1,2,1.35
4,1,3,1.19
4,1,4,1.16
4,1,5,1.05
1,2,1,1.27
1,2,2,1.27
1,2,3,1.27
1,2,4,1.2
1,2,5,1.2
2,2,1,1.3
2,2,2,1.03
2,2,3,1.14
2,2,4,1.21
2,2,5,1.1
3,2,1,1.17
3,2,2,1.09
3,2,3,1.27
3,2,4,1.18
3,2,5,1.24
4,2,1,1.15
4,2,2,1.02
4,2,3,1.16
4,2,4,1
4,2,5,1.28
